State,AverageIncome,BachelorsOrHigher,ObesityRate
Alabama,80098,26,39.0
Alaska,95705,30,31.9
Arizona,93563,30,30.9
Arkansas,73595,23,36.4
California,109260,34,30.3
Colorado,11730,41,24.2
Connecticut,112717,39,29.2
Delaware,88015,32,36.5
District of Columbia,134879
Florida,80986,30,28.4
Georgia,89679,31,34.3
Hawaii,100865,33,24.5
Idaho,86823,28,31.1
Illinois,105406,35,32.4
Indiana,93692,27,36.8
Iowa,89448,29,36.5
Kansas,92077,33,35.3
Kentucky,79926,24,36.6
Louisiana,75323,24,38.1
Maine,87585,32,31.0
Maryland,130850,40,31.0
Massachusetts,127044,44,24.4
Michigan,98869,29,35.2
Minnesota,112222,36,30.7
Mississippi,66127,22,39.7
Missouri,89400,29,34.0
Montana,81696,32,28.5
Nebraska,98805,32,34.0
Nevada,83588,25,28.7
New Hampshire,111787,37,29.9
New Jersey,119883,40,27.7
New Mexico,72198,27,30.9
New York,101402,37,26.3
North Carolina,83726,31,33.6
North Dakota,87614,30,33.1
Ohio,82814,28,35.5
Oklahoma,76735,26,36.4
Oregon,104543,34,28.1
Pennsylvania,100056,31,31.5
Rhode Island,100468,34,30.1
South Carolina,83231,28,36.2
South Dakota,90680,29,33.2
Tennessee,80185,27,35.6
Texas,96468,30,35.8
Utah,107811,34,28.6
Virginia,114811,39,32.2
Washington,106549,36,28.0
West Virginia,75856,21,39.1
Wisconsin,91538,30,32.3
Wyoming,80389,27,30.7
